pl_name,hostname,hip_name,sy_pnum
"Kepler-505 b","Kepler-505",,1
"Kepler-745 b","Kepler-745",,1
"Kepler-262 c","Kepler-262",,2
"Kepler-748 b","Kepler-748",,1
"Kepler-264 b","Kepler-264",,2
"HD 73344 b","HD 73344","HIP 42403",3
"Kepler-1732 b","Kepler-1732",,1
"Kepler-263 b","Kepler-263",,2
"Kepler-261 b","Kepler-261",,2
"K2-368 d","K2-368",,3
"K2-368 c","K2-368",,3
"Kepler-1733 b","Kepler-1733",,1
"Kepler-754 b","Kepler-754",,1
"K2-373 b","K2-373",,1
"Kepler-753 b","Kepler-753",,1
"K2-339 b","K2-339",,1
"Kepler-752 b","Kepler-752",,1
"K2-343 b","K2-343",,2
"Kepler-766 b","Kepler-766",,1
"Kepler-771 b","Kepler-771",,1
"EPIC 212624936 c","EPIC 212624936",,2
"Kepler-773 b","Kepler-773",,1
"K2-379 b","K2-379",,1
"K2-380 b","K2-380",,1
"Kepler-767 b","Kepler-767",,1
"Kepler-260 b","Kepler-260",,2
"Kepler-268 b","Kepler-268",,2
"K2-384 f","K2-384",,5
"K2-384 d","K2-384",,5
"K2-384 c","K2-384",,5
"K2-384 e","K2-384",,5
"K2-385 b","K2-385",,1
"Kepler-1736 b","Kepler-1736",,1
"K2-386 b","K2-386",,1
"Kepler-774 b","Kepler-774",,1
"Kepler-772 b","Kepler-772",,1
"K2-268 d","K2-268",,5
"K2-268 f","K2-268",,5
"K2-268 e","K2-268",,5
"K2-393 b","K2-393",,1
"K2-394 b","K2-394",,1
"Kepler-119 b","Kepler-119",,2
"11 UMi b","11 UMi","HIP 74793",1
"14 And b","14 And","HIP 116076",1
"14 Her b","14 Her","HIP 79248",2
"16 Cyg B b","16 Cyg B","HIP 96901",1
"18 Del b","18 Del","HIP 103527",1
"1RXS J160929.1-210524 b","1RXS J160929.1-210524",,1
"24 Sex b","24 Sex","HIP 50887",2
"24 Sex c","24 Sex","HIP 50887",2
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",,1
"2MASS J04414489+2301513 b","2MASS J04414489+2301513",,1
"47 UMa b","47 UMa","HIP 53721",3
"47 UMa c","47 UMa","HIP 53721",3
"47 UMa d","47 UMa","HIP 53721",3
"4 UMa b","4 UMa","HIP 42527",1
"Kepler-770 b","Kepler-770",,3
"51 Peg b","51 Peg","HIP 113357",1
"55 Cnc b","55 Cnc","HIP 43587",7
"55 Cnc c","55 Cnc","HIP 43587",7
"55 Cnc d","55 Cnc","HIP 43587",7
"55 Cnc e","55 Cnc","HIP 43587",7
"55 Cnc f","55 Cnc","HIP 43587",7
"61 Vir b","61 Vir","HIP 64924",3
"61 Vir c","61 Vir","HIP 64924",3
"61 Vir d","61 Vir","HIP 64924",3
"6 Lyn b","6 Lyn","HIP 31039",1
"70 Vir b","70 Vir","HIP 65721",1
"7 CMa b","7 CMa","HIP 31592",2
"81 Cet b","81 Cet","HIP 12247",1
"AB Pic b","AB Pic","HIP 30034",1
"BD-08 2823 b","BD-08 2823","HIP 49067",2
"BD-08 2823 c","BD-08 2823","HIP 49067",2
"BD-10 3166 b","BD-10 3166",,1
"BD+14 4559 b","BD+14 4559","HIP 104780",1
"BD-17 63 b","BD-17 63","HIP 2247",1
"BD+20 2457 b","BD+20 2457",,2
"BD+20 2457 c","BD+20 2457",,2
"BD+48 738 b","BD+48 738",,1
"bet Pic b","bet Pic","HIP 27321",2
"CoRoT-10 b","CoRoT-10",,1
"CoRoT-11 b","CoRoT-11",,1
"CoRoT-12 b","CoRoT-12",,1
"CoRoT-13 b","CoRoT-13",,1
"CoRoT-14 b","CoRoT-14",,1
"CoRoT-17 b","CoRoT-17",,1
"CoRoT-18 b","CoRoT-18",,1
"CoRoT-19 b","CoRoT-19",,1
"CoRoT-1 b","CoRoT-1",,1
"CoRoT-20 b","CoRoT-20",,2
"CoRoT-23 b","CoRoT-23",,1
"CoRoT-2 b","CoRoT-2",,1
"CoRoT-3 b","CoRoT-3",,1
"CoRoT-4 b","CoRoT-4",,1
"CoRoT-5 b","CoRoT-5",,1
"CoRoT-6 b","CoRoT-6",,1
"CoRoT-7 b","CoRoT-7",,3
"Kepler-24 c","Kepler-24",,4
"CoRoT-7 c","CoRoT-7",,3
"CoRoT-8 b","CoRoT-8",,1
"CoRoT-9 b","CoRoT-9",,1
"CT Cha b","CT Cha",,1
"DP Leo b","DP Leo",,1
"eps Eri b","eps Eri","HIP 16537",1
"eps Tau b","eps Tau","HIP 20889",1
"gam1 Leo b","gam1 Leo","HIP 50583 A",1
"gam Cep b","gam Cep","HIP 116727",1
"GJ 1214 b","GJ 1214",,1
"GJ 3021 b","GJ 3021","HIP 1292",1
"GJ 317 b","GJ 317",,2
"GJ 3634 b","GJ 3634",,1
"GJ 433 b","GJ 433","HIP 56528",3
"GJ 436 b","GJ 436","HIP 57087",1
"GJ 649 b","GJ 649","HIP 83043",1
"GJ 667 C b","GJ 667 C",,5
"GJ 667 C c","GJ 667 C",,5
"GJ 674 b","GJ 674","HIP 85523",1
"GJ 676 A b","GJ 676 A","HIP 85647",4
"GJ 832 b","GJ 832","HIP 106440",1
"GJ 849 b","GJ 849","HIP 109388",2
"GJ 179 b","GJ 179","HIP 22627",1
"GJ 581 b","GJ 581","HIP 74995",3
"GJ 581 c","GJ 581","HIP 74995",3
"GJ 581 e","GJ 581","HIP 74995",3
"GJ 86 b","GJ 86","HIP 10138",1
"GJ 876 b","GJ 876","HIP 113020",4
"GJ 876 c","GJ 876","HIP 113020",4
"GJ 876 d","GJ 876","HIP 113020",4
"GJ 876 e","GJ 876","HIP 113020",4
"GQ Lup b","GQ Lup",,1
"GSC 06214-00210 b","GSC 06214-00210",,1
"HAT-P-12 b","HAT-P-12",,1
"HAT-P-13 b","HAT-P-13",,2
"HAT-P-13 c","HAT-P-13",,2
"HAT-P-14 b","HAT-P-14",,1
"HAT-P-15 b","HAT-P-15",,1
"HAT-P-16 b","HAT-P-16",,1
"HAT-P-17 b","HAT-P-17",,2
"Kepler-123 b","Kepler-123",,2
"Kepler-769 b","Kepler-769",,2
"HAT-P-17 c","HAT-P-17",,2
"HAT-P-18 b","HAT-P-18",,1
"HAT-P-19 b","HAT-P-19",,1
"HAT-P-1 b","HAT-P-1",,1
"HAT-P-20 b","HAT-P-20",,1
"HAT-P-21 b","HAT-P-21",,1
"HAT-P-22 b","HAT-P-22",,1
"HAT-P-23 b","HAT-P-23",,1
"HAT-P-24 b","HAT-P-24",,1
"HAT-P-25 b","HAT-P-25",,1
"HAT-P-26 b","HAT-P-26",,1
"HAT-P-27 b","HAT-P-27",,1
"HAT-P-28 b","HAT-P-28",,1
"HAT-P-29 b","HAT-P-29",,1
"HAT-P-2 b","HAT-P-2","HIP 80076",2
"HAT-P-30 b","HAT-P-30",,1
"HAT-P-31 b","HAT-P-31",,1
"HAT-P-32 b","HAT-P-32",,1
"HAT-P-33 b","HAT-P-33",,1
"HAT-P-34 b","HAT-P-34",,1
"Kepler-1735 b","Kepler-1735",,1
"HAT-P-35 b","HAT-P-35",,1
"HAT-P-36 b","HAT-P-36",,1
"HAT-P-37 b","HAT-P-37",,1
"HAT-P-3 b","HAT-P-3",,1
"HAT-P-4 b","HAT-P-4",,1
"HAT-P-5 b","HAT-P-5",,1
"HAT-P-6 b","HAT-P-6",,1
"HAT-P-8 b","HAT-P-8",,1
"HAT-P-9 b","HAT-P-9",,1
"HD 100655 b","HD 100655","HIP 56508",1
"Kepler-765 b","Kepler-765",,1
"HD 100777 b","HD 100777","HIP 56572",1
"HD 10180 c","HD 10180","HIP 7599",6
"HD 10180 d","HD 10180","HIP 7599",6
"HD 10180 e","HD 10180","HIP 7599",6
"HD 10180 f","HD 10180","HIP 7599",6
"HD 10180 g","HD 10180","HIP 7599",6
"HD 10180 h","HD 10180","HIP 7599",6
"HD 101930 b","HD 101930","HIP 57172",1
"HD 102117 b","HD 102117","HIP 57291",1
"HD 102195 b","HD 102195","HIP 57370",1
"Kepler-763 d","Kepler-763",,3
"HD 102272 b","HD 102272","HIP 57428",1
"HD 102329 b","HD 102329","HIP 57467",2
"HD 102365 b","HD 102365","HIP 57443",1
"HD 102956 b","HD 102956","HIP 57820",1
"HD 103197 b","HD 103197","HIP 57931",1
"HD 104067 b","HD 104067","HIP 58451",2
"HD 104985 b","HD 104985","HIP 58952",1
"HD 106252 b","HD 106252","HIP 59610",1
"HD 106270 b","HD 106270","HIP 59625",1
"HD 10647 b","HD 10647","HIP 7978",1
"HD 10697 b","HD 10697","HIP 8159",1
"HD 107148 b","HD 107148","HIP 60081",2
"HD 108147 b","HD 108147","HIP 60644",1
"HD 108863 b","HD 108863","HIP 61020",1
"HD 108874 b","HD 108874","HIP 61028",2
"HD 108874 c","HD 108874","HIP 61028",2
"HD 109246 b","HD 109246","HIP 61177",1
"HD 109749 b","HD 109749","HIP 61595 A",1
"HD 110014 b","HD 110014","HIP 61740",1
"HD 111232 b","HD 111232","HIP 62534",2
"HD 113538 b","HD 113538","HIP 63833",2
"HD 113538 c","HD 113538","HIP 63833",2
"HD 114386 b","HD 114386","HIP 64295",1
"HD 114729 b","HD 114729","HIP 64459",1
"HD 114783 b","HD 114783","HIP 64457",2
"HD 11506 b","HD 11506","HIP 8770",3
"HD 11506 c","HD 11506","HIP 8770",3
"HD 116029 b","HD 116029","HIP 65117",2
"HD 117207 b","HD 117207","HIP 65808",1
"HD 117618 b","HD 117618","HIP 66047",1
"HD 118203 b","HD 118203","HIP 66192",2
"HD 11964 b","HD 11964","HIP 9094",2
"HD 11964 c","HD 11964","HIP 9094",2
"HD 11977 b","HD 11977","HIP 8928",1
"HD 121504 b","HD 121504","HIP 68162",1
"HD 125595 b","HD 125595","HIP 70170",1
"HD 125612 b","HD 125612","HIP 70123",3
"HD 125612 c","HD 125612","HIP 70123",3
"HD 125612 d","HD 125612","HIP 70123",3
"Kepler-744 b","Kepler-744",,1
"HD 126525 b","HD 126525","HIP 70695",1
"HD 126614 b","HD 126614","HIP 70623",1
"HD 12661 b","HD 12661","HIP 9683",2
"HD 12661 c","HD 12661","HIP 9683",2
"HD 128311 b","HD 128311","HIP 71395",2
"HD 128311 c","HD 128311","HIP 71395",2
"HD 129445 b","HD 129445","HIP 72203",1
"HD 130322 b","HD 130322","HIP 72339",1
"HD 131496 b","HD 131496","HIP 72845",1
"Kepler-764 b","Kepler-764",,1
"HD 13189 b","HD 13189","HIP 10085",1
"HD 132406 b","HD 132406","HIP 73146",1
"HD 132563 b","HD 132563","HIP 73261 A",1
"HD 134060 b","HD 134060","HIP 74273",2
"HD 134060 c","HD 134060","HIP 74273",2
"HD 134987 b","HD 134987","HIP 74500",2
"HD 134987 c","HD 134987","HIP 74500",2
"HD 136352 b","HD 136352","HIP 75181",3
"HD 136352 c","HD 136352","HIP 75181",3
"HD 136352 d","HD 136352","HIP 75181",3
"Kepler-112 b","Kepler-112",,2
"HD 136418 b","HD 136418","HIP 74961",1
"HD 137388 b","HD 137388","HIP 76351",1
"HD 13808 b","HD 13808","HIP 10301",2
"HD 13808 c","HD 13808","HIP 10301",2
"HD 13931 b","HD 13931","HIP 10626",1
"HD 139357 b","HD 139357","HIP 76311",1
"HD 141937 b","HD 141937","HIP 77740",1
"HD 142022 A b","HD 142022 A","HIP 79242",1
"HD 142245 b","HD 142245","HIP 77783",1
"HD 142415 b","HD 142415","HIP 78169",1
"Kepler-267 b","Kepler-267",,3
"HD 142 b","HD 142","HIP 522",3
"HD 143361 b","HD 143361","HIP 78521",1
"HD 145377 b","HD 145377","HIP 79346",1
"HD 145457 b","HD 145457","HIP 79219",1
"HD 1461 b","HD 1461","HIP 1499",2
"HD 1461 c","HD 1461","HIP 1499",2
"HD 147018 b","HD 147018","HIP 80250",2
"HD 147018 c","HD 147018","HIP 80250",2
"HD 147513 b","HD 147513","HIP 80337",1
"HD 148156 b","HD 148156","HIP 80680",1
"HD 149026 b","HD 149026","HIP 80838",1
"HD 149143 b","HD 149143","HIP 81022",1
"HD 1502 b","HD 1502","HIP 1547",1
"HD 152079 b","HD 152079","HIP 82632",1
"HD 152581 b","HD 152581","HIP 82651",1
"HD 153950 b","HD 153950","HIP 83547",1
"HD 154345 b","HD 154345","HIP 83389",1
"HD 154672 b","HD 154672","HIP 83983",1
"HD 154857 b","HD 154857","HIP 84069",2
"HD 155358 b","HD 155358","HIP 83949",2
"HD 155358 c","HD 155358","HIP 83949",2
"HD 156279 b","HD 156279","HIP 84171",2
"HD 156411 b","HD 156411","HIP 84787",1
"HD 156668 b","HD 156668","HIP 84607",2
"HD 156846 b","HD 156846","HIP 84856",1
"HD 158038 b","HD 158038","HIP 85294",1
"HD 159868 b","HD 159868","HIP 86375",2
"HD 160691 b","HD 160691","HIP 86796",4
"HD 160691 c","HD 160691","HIP 86796",4
"HD 160691 d","HD 160691","HIP 86796",4
"HD 160691 e","HD 160691","HIP 86796",4
"HD 16141 b","HD 16141","HIP 12048",1
"HD 16175 b","HD 16175","HIP 12191",1
"HD 162020 b","HD 162020","HIP 87330",1
"HD 163607 b","HD 163607","HIP 87601",2
"HD 163607 c","HD 163607","HIP 87601",2
"HD 16417 b","HD 16417","HIP 12186",1
"HD 164509 b","HD 164509","HIP 88268",1
"HD 164604 b","HD 164604","HIP 88414",1
"HD 164922 b","HD 164922","HIP 88348",4
"HD 167042 b","HD 167042","HIP 89047",1
"HD 168443 b","HD 168443","HIP 89844",2
"HD 168443 c","HD 168443","HIP 89844",2
"HD 168746 b","HD 168746","HIP 90004",1
"HD 1690 b","HD 1690","HIP 1692",1
"HD 169830 b","HD 169830","HIP 90485",2
"HD 169830 c","HD 169830","HIP 90485",2
"HD 170469 b","HD 170469","HIP 90593",1
"HD 17092 b","HD 17092",,1
"Kepler-762 b","Kepler-762",,1
"HD 171028 b","HD 171028",,1
"HD 171238 b","HD 171238","HIP 91085",1
"HD 17156 b","HD 17156","HIP 13192",1
"HD 173416 b","HD 173416","HIP 91852",1
"HD 175167 b","HD 175167","HIP 93281",1
"HD 175541 b","HD 175541","HIP 92895",1
"HD 177830 b","HD 177830","HIP 93746",2
"HD 177830 c","HD 177830","HIP 93746",2
"HD 178911 B b","HD 178911 B","HIP 94075",1
"HD 179079 b","HD 179079","HIP 94256",1
"HD 179949 b","HD 179949","HIP 94645",1
"HD 180902 b","HD 180902","HIP 94951",1
"HD 181342 b","HD 181342","HIP 95124",1
"HD 181433 b","HD 181433","HIP 95467",3
"HD 181433 c","HD 181433","HIP 95467",3
"HD 181433 d","HD 181433","HIP 95467",3
"HD 181720 b","HD 181720","HIP 95262",1
"HD 183263 b","HD 183263","HIP 95740",2
"HD 183263 c","HD 183263","HIP 95740",2
"HD 185269 b","HD 185269","HIP 96507",1
"HD 187085 b","HD 187085","HIP 97546",1
"HD 187123 b","HD 187123","HIP 97336",2
"HD 187123 c","HD 187123","HIP 97336",2
"HD 18742 b","HD 18742","HIP 13993",1
"HD 188015 b","HD 188015","HIP 97769",1
"HD 189733 b","HD 189733","HIP 98505",1
"HD 190360 b","HD 190360","HIP 98767",2
"HD 190360 c","HD 190360","HIP 98767",2
"HD 190647 b","HD 190647","HIP 99115",1
"HD 190984 b","HD 190984","HIP 99496",1
"HD 192263 b","HD 192263","HIP 99711",1
"HD 192310 b","HD 192310","HIP 99825",2
"HD 192310 c","HD 192310","HIP 99825",2
"HD 192699 b","HD 192699","HIP 99894",1
"HD 195019 b","HD 195019","HIP 100970",1
"HD 196050 b","HD 196050","HIP 101806",1
"HD 196885 A b","HD 196885 A","HIP 101966",1
"HD 197037 b","HD 197037","HIP 101948",1
"HD 19994 b","HD 19994","HIP 14954",1
"HD 20003 b","HD 20003","HIP 14530",2
"Kepler-1713 b","Kepler-1713",,1
"Kepler-781 b","Kepler-781",,1
"HD 20003 c","HD 20003","HIP 14530",2
"HD 200964 b","HD 200964","HIP 104202",2
"HD 200964 c","HD 200964","HIP 104202",2
"HD 202206 c","HD 202206","HIP 104903",1
"HD 2039 b","HD 2039","HIP 1931",1
"HD 204313 b","HD 204313","HIP 106006",3
"HD 204313 c","HD 204313","HIP 106006",3
"HD 204941 b","HD 204941","HIP 106353",1
"HD 205739 b","HD 205739","HIP 106824",1
"HD 206610 b","HD 206610","HIP 107251",1
"Kepler-783 c","Kepler-783",,2
"HD 20781 b","HD 20781","HIP 15526",5
"HD 20781 c","HD 20781","HIP 15526",5
"HD 20782 b","HD 20782","HIP 15527",5
"HD 20794 b","HD 20794","HIP 15510",4
"HD 20794 d","HD 20794","HIP 15510",4
"HD 208487 b","HD 208487","HIP 108375",1
"HD 20868 b","HD 20868","HIP 15578",1
"HD 209458 b","HD 209458","HIP 108859",1
"HD 210277 b","HD 210277","HIP 109378",1
"HD 210702 b","HD 210702","HIP 109577",1
"HD 212301 b","HD 212301","HIP 110852",1
"HD 212771 b","HD 212771","HIP 110813",1
"HD 213240 b","HD 213240","HIP 111143",1
"HD 215152 b","HD 215152","HIP 112190",4
"HD 215152 c","HD 215152","HIP 112190",4
"HD 215497 b","HD 215497","HIP 112441",2
"HD 215497 c","HD 215497","HIP 112441",2
"HD 216435 b","HD 216435","HIP 113044",1
"HD 216437 b","HD 216437","HIP 113137",1
"HD 216770 b","HD 216770","HIP 113238",1
"HD 21693 b","HD 21693","HIP 16085",2
"HD 21693 c","HD 21693","HIP 16085",2
"HD 217107 b","HD 217107","HIP 113421",2
"HD 217107 c","HD 217107","HIP 113421",2
"HD 217786 b","HD 217786","HIP 113834",2
"HD 218566 b","HD 218566","HIP 114322",1
"91 Aqr b","91 Aqr","HIP 114855",1
"HD 219828 b","HD 219828","HIP 115100",2
"HD 220773 b","HD 220773","HIP 115697",1
"HD 221287 b","HD 221287","HIP 116084",1
"HD 222582 b","HD 222582","HIP 116906",1
"HD 224693 b","HD 224693","HIP 118319",1
"HD 22781 b","HD 22781","HIP 17187",1
"HD 23079 b","HD 23079","HIP 17096",2
"HD 23127 b","HD 23127","HIP 17054",1
"HD 231701 b","HD 231701","HIP 96078",1
"HD 23596 b","HD 23596","HIP 17747",1
"HD 240210 b","HD 240210",,1
"HD 240237 b","HD 240237","HIP 114840",1
"Kepler-1738 b","Kepler-1738",,1
"HD 25171 b","HD 25171","HIP 18387",1
"HD 2638 b","HD 2638","HIP 2350",1
"HD 27442 b","HD 27442","HIP 19921",1
"HD 27894 b","HD 27894","HIP 20277",3
"HD 28185 b","HD 28185","HIP 20723",2
"HD 28254 b","HD 28254","HIP 20606",1
"HD 285968 b","HD 285968","HIP 21932",1
"HD 28678 b","HD 28678","HIP 21109",1
"HD 290327 b","HD 290327","HIP 25191",1
"HD 30177 b","HD 30177","HIP 21850",2
"HD 30562 b","HD 30562","HIP 22336",1
"HD 30856 b","HD 30856","HIP 22491",1
"HD 31253 b","HD 31253","HIP 22826",1
"HD 31527 b","HD 31527","HIP 22905",3
"HD 31527 c","HD 31527","HIP 22905",3
"HD 31527 d","HD 31527","HIP 22905",3
"HD 32518 b","HD 32518","HIP 24003",1
"HD 330075 b","HD 330075","HIP 77517",1
"HD 33142 b","HD 33142","HIP 23844",3
"HD 33283 b","HD 33283","HIP 23889",1
"HD 33564 b","HD 33564","HIP 25110",1
"HD 34445 b","HD 34445","HIP 24681",6
"HD 3651 b","HD 3651","HIP 3093",1
"HD 37124 b","HD 37124","HIP 26381",3
"HD 37124 c","HD 37124","HIP 26381",3
"HD 37124 d","HD 37124","HIP 26381",3
"HD 37605 b","HD 37605","HIP 26664",2
"HD 38529 b","HD 38529","HIP 27253",2
"HD 38529 c","HD 38529","HIP 27253",2
"HD 38801 b","HD 38801","HIP 27384",1
"Kepler-1737 b","Kepler-1737",,1
"HD 39091 b","HD 39091","HIP 26394",3
"HD 40307 b","HD 40307","HIP 27887",5
"HD 40307 c","HD 40307","HIP 27887",5
"HD 40307 d","HD 40307","HIP 27887",5
"HD 40979 b","HD 40979","HIP 28767",1
"HD 41004 A b","HD 41004 A","HIP 28393 A",2
"HD 41004 B b","HD 41004 B","HIP 28393 B",2
"HD 4113 b","HD 4113","HIP 3391",1
"HD 4203 b","HD 4203","HIP 3502",2
"HD 4208 b","HD 4208","HIP 3479",1
"Kepler-272 c","Kepler-272",,3
"HD 4308 b","HD 4308","HIP 3497",1
"HD 4313 b","HD 4313","HIP 3574",1
"HD 43197 b","HD 43197","HIP 29550",2
"HD 43691 b","HD 43691","HIP 30057",1
"HD 44219 b","HD 44219","HIP 30114",1
"HD 45184 b","HD 45184","HIP 30503",2
"HD 45350 b","HD 45350","HIP 30860",1
"HD 45364 b","HD 45364","HIP 30579",2
"HD 45364 c","HD 45364","HIP 30579",2
"HD 45652 b","HD 45652","HIP 30905",1
"HD 46375 b","HD 46375","HIP 31246",1
"HD 47186 b","HD 47186","HIP 31540",2
"HD 47186 c","HD 47186","HIP 31540",2
"HD 47536 b","HD 47536","HIP 31688",1
"HD 48265 b","HD 48265","HIP 31895",1
"HD 49674 b","HD 49674","HIP 32916",1
"HD 50499 b","HD 50499","HIP 32970",2
"HD 50554 b","HD 50554","HIP 33212",1
"HD 51608 b","HD 51608","HIP 33229",2
"HD 51608 c","HD 51608","HIP 33229",2
"Kepler-273 b","Kepler-273",,2
"HD 52265 b","HD 52265","HIP 33719",1
"HD 5319 b","HD 5319","HIP 4297",2
"HD 5891 b","HD 5891","HIP 4715",1
"HD 59686 A b","HD 59686 A","HIP 36616",1
"HD 60532 b","HD 60532","HIP 36795",2
"HD 60532 c","HD 60532","HIP 36795",2
"HD 62509 b","HD 62509","HIP 37826",1
"HD 63454 b","HD 63454","HIP 37284",1
"HD 63765 b","HD 63765","HIP 38041",1
"HD 6434 b","HD 6434","HIP 5054",1
"Kepler-1739 b","Kepler-1739",,1
"HD 65216 b","HD 65216","HIP 38558",2
"HD 66428 b","HD 66428","HIP 39417",2
"HD 68988 b","HD 68988","HIP 40687",2
"HD 69830 b","HD 69830","HIP 40693",3
"HD 69830 c","HD 69830","HIP 40693",3
"HD 69830 d","HD 69830","HIP 40693",3
"HD 70573 b","HD 70573",,1
"HD 70642 b","HD 70642","HIP 40952",1
"HD 7199 b","HD 7199","HIP 5529",1
"HD 72659 b","HD 72659","HIP 42030",2
"HD 73267 b","HD 73267","HIP 42202",2
"HD 73526 b","HD 73526","HIP 42282",2
"HD 73526 c","HD 73526","HIP 42282",2
"HD 73534 b","HD 73534","HIP 42446",1
"HD 74156 b","HD 74156","HIP 42723",2
"HD 74156 c","HD 74156","HIP 42723",2
"HD 7449 b","HD 7449","HIP 5806",1
"HD 75289 b","HD 75289","HIP 43177",1
"HD 75898 b","HD 75898","HIP 43674",2
"HD 76700 b","HD 76700","HIP 43686",1
"HD 7924 b","HD 7924","HIP 6379",3
"HD 79498 b","HD 79498","HIP 45406",1
"HD 80606 b","HD 80606","HIP 45982",1
"HD 81040 b","HD 81040","HIP 46076",1
"HD 81688 b","HD 81688","HIP 46471",1
"HD 82886 b","HD 82886","HIP 47087",1
"HD 82943 b","HD 82943","HIP 47007",2
"HD 82943 c","HD 82943","HIP 47007",2
"HD 83443 b","HD 83443","HIP 47202",2
"HD 8535 b","HD 8535","HIP 6511",1
"HD 85390 b","HD 85390","HIP 48235",1
"HD 8574 b","HD 8574","HIP 6643",1
"HD 86081 b","HD 86081","HIP 48711",1
"HD 86226 b","HD 86226","HIP 48739",2
